
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)	
3333.296	27.90800000000000115	2177.262	5	6840	0	3595.383	114	3595.383	239.033999999999991	3595.383	2	3595.383	245.033999999999991
3350.349	39.83599999999999837	2185.032	4	6900	0	3624.668	113	3624.668	283.3719999999999565	3624.668	3	3624.668	291.3719999999999565
3367.773	31.65599999999999867	2190.383	5	6960	1	3669.221	116	3669.221	278.6669999999999152	3669.221	9	3669.221	298.666999999999915
3370.554	17.00799999999999551	2201.455	4	7020	0	3688.577	115	3688.577	310.8039999999999725	3688.577	4	3688.577	320.8039999999999725
3432.65	76.6299999999999951	2251.262	5	7080	0	3695.939	119	3695.939	229.1769999999999633	3695.939	1	3695.939	233.1769999999999632
3445.543	54.97699999999998945	2252.455	4	7140	1	3700.525	117	3700.525	265.875	3700.525	0	3700.525	267.875
3462.762	0	2277.184	5	7200	3	3722.901	118	3722.901	261.3579999999999465	3722.901	7	3722.901	277.3579999999999462
3504.523	21.82999999999999822	2303.254	6	7260	2	3758.177	120	3758.177	241.653999999999996	3758.177	5	3758.177	253.653999999999996
3551.939	53.951999999999998	2303.335	7	7320	1	3838.305	121	3838.305	268.3659999999999845	3838.305	8	3838.305	286.3659999999999845
3554.501	39.48699999999999462	2314.404	6	7380	1	3843.566	123	3843.566	242.182999999999992	3843.566	2	3843.566	248.182999999999992
3595.383	76.4569999999999933	2345.544	5	7440	0	3863.362	122	3863.362	294.860999999999989	3863.362	6	3863.362	308.860999999999989
3624.668	85.286000000000001	2351.883	4	7500	0	3877.194	124	3877.194	244.5260000000000095	3877.194	3	3877.194	252.5260000000000095
3669.221	123.091999999999984	2379.063	5	7560	0	3955.147	128	3955.147	252.6220000000000135	3955.147	0	3955.147	254.6220000000000135
3688.577	121.9079999999999865	2391.501	4	7620	0	3956.702	127	3956.702	256.762999999999919	3956.702	1	3956.702	260.762999999999919
3695.939	110.3369999999999887	2417.735	3	7680	0	3964.628	126	3964.628	266.05099999999993	3964.628	4	3964.628	276.0509999999999297
3700.525	38.34199999999999862	2420.31	2	7740	1	3966.186	125	3966.186	276.9649999999999167	3966.186	9	3966.186	296.9649999999999167
3742.801	0	2436.352	1	7800	4	4023.955	129	4023.955	265.153999999999996	4023.955	7	4023.955	281.1539999999999952
3796.464	0	2449.787	2	7860	4	4075.647	130	4075.647	267.182999999999992	4075.647	5	4075.647	279.182999999999992
3838.305	11.53099999999999876	2451.112	1	7920	4	4099.169	132	4099.169	247.544999999999958	4099.169	2	4099.169	253.544999999999958
3845.624	0	2459.739	2	7980	6	4154.82	131	4154.82	298.5149999999999852	4154.82	8	4154.82	316.5149999999999852
3886.593	0	2485.666	1	8040	5	4191.269	133	4191.269	296.6759999999999295	4191.269	3	4191.269	304.6759999999999295
3987.769	0	2518.094	0	8100	4	4226.148	135	4226.148	232.3059999999999815	4226.148	1	4226.148	236.3059999999999815
3989.842	0	2529.396	1	8160	5	4293.946	134	4293.946	304.1770000000000195	4293.946	0	4293.946	306.1770000000000195
3991.638	0	2542.414	2	8220	10	4300.791	136	4300.791	299.1530000000000187	4300.791	4	4300.791	309.1530000000000187
4023.422	0	2551.454	1	8280	10	4301.171	137	4301.171	263.7490000000000227	4301.171	6	4301.171	277.7490000000000227
4065.152	0	2581.813	2	8340	10	4353.158	140	4353.158	252.379999999999995	4353.158	5	4353.158	264.379999999999995
4068.401	0	2587.327	3	8400	7	4364.039	139	4364.039	275.637999999999919	4364.039	9	4364.039	295.637999999999919
4088.778	0	2630.109	2	8460	7	4379.796	141	4379.796	252.5500000000000105	4379.796	2	4379.796	258.549999999999954
4121.246	0	2633.468	1	8520	11	4424.112	138	4424.112	342.9599999999999212	4424.112	7	4424.112	358.9599999999999212
4154.82	27.26800000000000057	2647.594	2	8580	9	4430.995	142	4430.995	258.174999999999954	4430.995	8	4430.995	276.1749999999999532
4191.269	41.77799999999999145	2654.861	1	8640	9	4457.703	143	4457.703	258.433999999999968	4457.703	3	4457.703	266.433999999999968
4226.148	64.0039999999999904	2660.49	2	8700	7	4516.031	144	4516.031	285.8829999999999232	4516.031	1	4516.031	289.8829999999999232
4293.946	115.8930000000000001	2675.811	1	8760	5	4583.166	146	4583.166	272.375	4583.166	4	4583.166	282.375
4300.791	121.0780000000000025	2700.276	0	8820	6	4586.046	145	4586.046	290.1000000000000217	4586.046	0	4586.046	292.1000000000000217
4301.171	101.7810000000000056	2783.661	0	8880	6	4598.31	147	4598.31	283.139000000000009	4598.31	6	4598.31	297.139000000000009
4353.158	104.4779999999999798	2790.333	0	8940	4	4625.181	150	4625.181	239.38499999999999	4625.181	2	4625.181	245.38499999999999
4364.039	59.32599999999999315	2793.272	0	9000	1	4669.098	148	4669.098	303.93999999999994	4669.098	5	4669.098	315.93999999999994
4379.796	52.07099999999999775	2794.11	1	9060	2	4680.127	149	4680.127	296.0879999999999645	4680.127	9	4680.127	316.0879999999999645
4463.115	0	2804.676	2	9120	3	4750.164	151	4750.164	279.0489999999999775	4750.164	3	4750.164	287.048999999999977
4474.471	0	2821.392	1	9180	5	4773.738	152	4773.738	283.2669999999999377	4773.738	7	4773.738	299.2669999999999377
4495.399	0	2855.679	2	9240	4	4785.876	153	4785.876	272.4769999999999745	4785.876	8	4785.876	290.4769999999999742
4516.031	0.34299999999999997	2860.166	1	9300	4	4806.61	154	4806.61	286.57899999999995	4806.61	1	4806.61	290.57899999999995
4583.166	66.0229999999999959	2897.694	2	9360	2	4819.036	156	4819.036	230.9900000000000082	4819.036	0	4819.036	232.9900000000000082
4586.046	64.63499999999999065	2904.535	1	9420	3	4843.398	155	4843.398	250.23199999999997	4843.398	4	4843.398	260.23199999999997
4598.31	73.88700000000000015	2908.288	0	9480	4	4889.543	158	4889.543	258.3619999999999657	4889.543	2	4889.543	264.3619999999999657
4625.181	83.02899999999999605	2913.871	1	9540	6	4914.802	157	4914.802	302.4919999999999607	4914.802	6	4914.802	316.4919999999999607
4669.098	118.781999999999982	2938.761	0	9600	3	4974.214	161	4974.214	216.0500000000000108	4974.214	3	4974.214	224.0500000000000106
4680.127	114.0130000000000048	2950.873	0	9660	1	4991.626	160	4991.626	291.4990000000000225	4991.626	9	4991.626	311.4990000000000225
4750.164	182.7239999999999885	2965.287	0	9720	1	4996.928	159	4996.928	315.8299999999999265	4996.928	5	4996.928	327.8299999999999265
4773.738	192.3170000000000066	3010.847	1	9780	0	5063.084	162	5063.084	273.3460000000000027	5063.084	7	5063.084	289.3460000000000027
4785.876	193.6709999999999915	3026.432	2	9840	0	5064.206	164	5064.206	253.5960000000000027	5064.206	1	5064.206	257.5960000000000027
4806.61	201.9409999999999735	3029.975	3	9900	0	5082.41	163	5082.41	278.5339999999999905	5082.41	8	5082.41	296.5339999999999905
4819.036	96.1200000000000042	3036.303	4	9960	0	5084.128	165	5084.128	263.0919999999999837	5084.128	0	5084.128	265.0919999999999837
4843.398	103.3760000000000044	3064.5	3	10020	0	5142.682	166	5142.682	289.2839999999999905	5142.682	4	5142.682	299.2839999999999905
4889.543	146.4590000000000026	3069.1	4	10080	0	5144.404	167	5144.404	248.860999999999989	5144.404	2	5144.404	254.860999999999989
4914.802	165.6979999999999785	3089.193	5	10140	0	5224.217	168	5224.217	295.4149999999999625	5224.217	6	5224.217	309.4149999999999625
4974.214	206.5179999999999718	3096.006	4	10200	0	5261.794	170	5261.794	250.1680000000000052	5261.794	9	5261.794	270.1680000000000052
4991.626	201.8480000000000125	3101.412	3	10260	0	5297.556	171	5297.556	288.627999999999928	5297.556	5	5297.556	300.627999999999928
4996.928	194.6009999999999983	3108.716	2	10320	2	5317.024	169	5317.024	334.8099999999999445	5317.024	3	5317.024	342.8099999999999445
5063.084	249.4710000000000027	3154.832	3	10380	2	5333.885	172	5333.885	254.8009999999999865	5333.885	7	5333.885	270.80099999999993
5064.206	202.4710000000000031	3156.309	4	10440	2	5346.11	175	5346.11	259.98199999999997	5346.11	0	5346.11	261.98199999999997
5082.41	209.754999999999995	3163.101	3	10500	2	5360.545	174	5360.545	260.13499999999999	5360.545	8	5360.545	278.13499999999999
5084.128	195.6179999999999945	3186.55	2	10560	1	5394.883	173	5394.883	326.6770000000000195	5394.883	1	5394.883	330.6770000000000195
5142.682	228.0029999999999846	3199.443	1	10620	1	5406.741	176	5406.741	254.058999999999968	5406.741	4	5406.741	264.058999999999968
5144.404	126.9350000000000018	3199.766	2	10680	2	5408.725	177	5408.725	258.3210000000000257	5408.725	2	5408.725	264.3210000000000257
5224.217	133.4130000000000105	3211.997	1	10740	3	5500.608	178	5500.608	262.3909999999999617	5500.608	6	5500.608	276.3909999999999617
5261.794	168.8949999999999812	3212.996	0	10800	1	5554.413	179	5554.413	272.6190000000000275	5554.413	9	5554.413	292.619000000000027
5297.556	179.7629999999999762	3263.713	0	10860	0	5590.084	183	5590.084	241.9739999999999885	5590.084	0	5590.084	243.9739999999999885
5317.024	192.007000000000004	3305.388	1	10920	4	5591.094	180	5591.094	281.5380000000000097	5591.094	5	5591.094	293.5380000000000095
5333.885	84.9489999999999835	3310.513	2	10980	6	5609.756	181	5609.756	284.73199999999997	5609.756	3	5609.756	292.73199999999997
5346.11	66.98399999999998015	3333.296	1	11040	8	5614.168	182	5614.168	264.2830000000000145	5614.168	7	5614.168	280.2830000000000145
5360.545	66.0349999999999963	3336.117	2	11100	9	5641.502	185	5641.502	242.6189999999999705	5641.502	1	5641.502	246.6189999999999705
5394.883	86.8769999999999808	3350.349	1	11160	9	5673.432	184	5673.432	294.8869999999999425	5673.432	8	5673.432	312.8869999999999425
5406.741	55.22899999999999905	3353.546	2	11220	8	5674.679	186	5674.679	257.937999999999987	5674.679	4	5674.679	267.937999999999987
5408.725	34.31300000000000225	3356.02	3	11280	6	5688.907	187	5688.907	274.1820000000000155	5688.907	2	5688.907	280.1820000000000155
5500.608	102.3110000000000067	3367.773	2	11340	4	5786.544	188	5786.544	271.9359999999999207	5786.544	6	5786.544	285.9359999999999207
5554.413	126.1219999999999852	3370.554	1	11400	3	5851.369	191	5851.369	248.2749999999999765	5851.369	5	5851.369	260.2749999999999765
5590.084	107.1730000000000015	3390.566	2	11460	2	5863.685	189	5863.685	289.2719999999999332	5863.685	9	5863.685	309.2719999999999332
5591.094	63.143999999999991	3432.65	1	11520	5	5891.971	190	5891.971	299.8869999999999425	5891.971	0	5891.971	301.8869999999999425
5609.756	18.47299999999999887	3445.543	0	11580	5	5903.279	193	5903.279	258.755999999999971	5903.279	7	5903.279	274.755999999999971
5628.523	0	3462.762	0	11640	1	5932.51	194	5932.51	248.082999999999969	5932.51	1	5932.51	252.082999999999969
5680.427	0	3482.693	1	11700	2	5955.609	192	5955.609	337.8529999999999502	5955.609	3	5955.609	345.8529999999999502
5742.305	0	3497.987	2	11760	4	6023.787	195	6023.787	275.48199999999997	6023.787	2	6023.787	281.48199999999997
