
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220621-02:57:15-6016)	
233394.315	1094.610999999999872	117190.832	26			233644.342	8322	233644.342	53.29800000000000165	233644.342	1	233644.342	57.29800000000000165		
233394.612	1046.153999999999992	117226.64	27			233670.503	8307	233670.503	487.9339999999999675	233670.503	6	233670.503	501.9339999999999675		
233422.018	997.73099999999999	117239.773	26			233715.305	8323	233715.305	108.3930000000000003	233715.305	5	233715.305	120.3930000000000001		
233487.875	1062.010999999999964	117270.209	27			233795.886	8328	233795.886	111.3829999999999809	233795.886	6	233795.886	125.3829999999999808		
233584.991	1118.389999999999867	117272.281	26			233804.386	8325	233804.386	162.5229999999999671	233804.386	2	233804.386	168.522999999999967		
233587.044	1075.543999999999865	117278.826	25			233814.275	8319	233814.275	384.256999999999947	233814.275	3	233814.275	392.256999999999947		
233594.912	1079.507999999999808	117283.719	24			233829.664	8312	233829.664	511.39499999999998	233829.664	4	233829.664	521.39499999999998		
233617.581	1087.465999999999891	117357.438	23			233865.884	8326	233865.884	205.6279999999999847	233865.884	9	233865.884	225.6279999999999846		
233635.863	1097.614999999999779	117372.979	24			234019.511	8332	234019.511	197.2359999999999891	234019.511	3	234019.511	205.2359999999999891		
233640.256	1094.384000000000011	117414.699	23			234023.711	8330	234023.711	213.8249999999999877	234023.711	6	234023.711	227.8249999999999876		
233644.342	1037.451999999999767	117424.741	24			234023.724	8333	234023.724	184.0600000000000016	234023.724	4	234023.724	194.0600000000000016		
233670.503	1062.181999999999786	117456.414	25			234090.033	8331	234090.033	279.6469999999999335	234090.033	2	234090.033	285.6469999999999335		
233715.305	1101.092000000000095	117458.693	26			234109.274	8335	234109.274	81.76300000000000485	234109.274	3	234109.274	89.76300000000000485		
233795.886	1150.969000000000046	117464.714	25			234152.189	8327	234152.189	503.846999999999978	234152.189	1	234152.189	507.846999999999978		
233804.386	1157.380000000000105	117467.718	26			234156.32	8336	234156.32	118.60899999999998	234156.32	6	234156.32	132.60899999999998		
233814.275	1082.143999999999775	117495.75	27			234156.933	8337	234156.933	123.2090000000000026	234156.933	4	234156.933	133.2090000000000026		
233829.664	1089.563999999999847	117497.305	26			234202.672	8338	234202.672	106.6389999999999813	234202.672	2	234202.672	112.6389999999999812		
233865.884	1123.125	117502.598	25			234227.021	8340	234227.021	70.83199999999999335	234227.021	1	234227.021	74.8319999999999933		
234019.511	1240.458999999999828	117530.453	24			234228.066	8324	234228.066	592.484999999999898	234228.066	8	234228.066	610.484999999999898		
234023.711	1203.03499999999985	117537.189	25			234255.772	8343	234255.772	47.0999999999999941	234255.772	2	234255.772	53.0999999999999941		
234023.724	1190	117561.594	26			234267.925	8342	234267.925	100.9919999999999898	234267.925	4	234267.925	110.9919999999999898		
234090.033	1242.839999999999687	117563.068	25			234363.256	8290	234363.256	1626.663000000000006	234363.256	7	234363.256	1642.663000000000006		
234109.274	1260.585999999999781	117564.475	24			234390.318	8339	234390.318	273.0439999999999815	234390.318	3	234390.318	281.0439999999999815		
234152.189	1286.597999999999952	117569.633	25			234413.276	8347	234413.276	135.3509999999999985	234413.276	4	234413.276	145.3509999999999983		
234156.32	1283.344000000000046	117600.15	26			234451.002	8344	234451.002	219.980999999999994	234451.002	1	234451.002	223.980999999999994		
234156.933	1282.375	117600.57	27			234452.174	8329	234452.174	724.8689999999999125	234452.174	5	234452.174	736.8689999999999125		
234202.672	1305.367999999999932	117609.995	26			234452.981	8302	234452.981	1370.661000000000055	234452.981	0	234452.981	1372.661000000000055		
234227.021	1314.556999999999785	117626.701	25			234488.746	8353	234488.746	33.7650000000000004	234488.746	0	234488.746	35.7650000000000004		
234228.066	1313.748000000000043	117641.898	24			234520.528	8341	234520.528	350.2079999999999687	234520.528	6	234520.528	364.2079999999999687		
234255.772	1332.070999999999907	117645.474	25			234531.002	8334	234531.002	645.117999999999936	234531.002	9	234531.002	665.117999999999936		
234267.925	1334.851999999999858	117651.356	24			234538.142	8350	234538.142	114.865999999999985	234538.142	4	234538.142	124.865999999999985		
234363.256	1391.630999999999852	117659.49	23			234601.077	8354	234601.077	110.3309999999999884	234601.077	0	234601.077	112.3309999999999884		
234390.318	1400.90999999999985	117663.783	22			234601.734	8352	234601.734	137.5600000000000016	234601.734	5	234601.734	149.5600000000000016		
234413.276	1418.213999999999937	117664.397	23			234645.923	8358	234645.923	42.84599999999998927	234645.923	0	234645.923	44.84599999999998915		
234451.002	1349.482999999999713	117668.297	22			234699.276	8348	234699.276	320.0199999999999805	234699.276	7	234699.276	336.0199999999999805		
234452.174	1345.456999999999876	117697.06	21			234775.102	8355	234775.102	240.574000000000011	234775.102	6	234775.102	254.574000000000011		
234452.981	1334.098999999999701	117710.457	20			234816.932	8357	234816.932	268.7899999999999627	234816.932	4	234816.932	278.7899999999999627		
234488.746	1362.101999999999858	117735.726	21			234846.803	8360	234846.803	198.879999999999995	234846.803	0	234846.803	200.879999999999995		
234520.528	1376.063999999999845	117761.919	22			234859.536	8351	234859.536	404.5339999999999905	234859.536	1	234859.536	408.5339999999999905		
